onset	duration	trial_type	domain
4	4	house	place
8	4	corridor	place
16	4	house	place
20	4	instrument	object
24	4	limb	body
28	4	child	face
32	4	corridor	place
36	4	adult	face
44	4	house	place
48	4	corridor	place
52	4	child	face
56	4	body	body
60	4	adult	face
68	4	car	object
72	4	child	face
76	4	instrument	object
80	4	number	character
84	4	limb	body
88	4	body	body
92	4	limb	body
96	4	car	object
100	4	body	body
104	4	word	character
120	4	adult	face
124	4	child	face
128	4	limb	body
132	4	number	character
136	4	house	place
140	4	body	body
144	4	corridor	place
148	4	word	character
152	4	limb	body
156	4	instrument	object
160	4	car	object
168	4	number	character
172	4	adult	face
176	4	child	face
180	4	instrument	object
184	4	house	place
188	4	word	character
192	4	corridor	place
196	4	car	object
204	4	instrument	object
208	4	car	object
212	4	house	place
216	4	body	body
224	4	adult	face
228	4	number	character
232	4	instrument	object
236	4	word	character
240	4	number	character
248	4	limb	body
256	4	body	body
260	4	corridor	place
268	4	word	character
272	4	number	character
276	4	child	face
280	4	word	character
284	4	car	object
288	4	adult	face
