onset	duration	trial_type	domain
4	4	number	character
8	4	limb	body
20	4	child	face
24	4	house	place
28	4	body	body
32	4	instrument	object
36	4	car	object
40	4	word	character
48	4	number	character
52	4	word	character
56	4	instrument	object
60	4	corridor	place
68	4	limb	body
72	4	body	body
76	4	number	character
80	4	adult	face
84	4	child	face
88	4	word	character
92	4	house	place
96	4	adult	face
104	4	corridor	place
112	4	car	object
116	4	limb	body
120	4	number	character
124	4	word	character
128	4	house	place
132	4	instrument	object
136	4	child	face
140	4	adult	face
144	4	body	body
148	4	limb	body
152	4	child	face
156	4	car	object
160	4	number	character
164	4	instrument	object
168	4	corridor	place
172	4	word	character
180	4	house	place
184	4	body	body
188	4	corridor	place
192	4	house	place
196	4	number	character
200	4	limb	body
208	4	adult	face
216	4	car	object
228	4	body	body
232	4	instrument	object
240	4	word	character
244	4	child	face
248	4	corridor	place
252	4	car	object
256	4	adult	face
260	4	instrument	object
264	4	car	object
268	4	limb	body
272	4	house	place
276	4	corridor	place
280	4	child	face
284	4	body	body
288	4	adult	face
