onset	duration	trial_type	domain
4	4	number	character
8	4	child	face
12	4	limb	body
16	4	word	character
20	4	house	place
24	4	corridor	place
28	4	instrument	object
36	4	adult	face
40	4	car	object
44	4	instrument	object
48	4	house	place
52	4	body	body
56	4	child	face
60	4	adult	face
64	4	corridor	place
72	4	house	place
80	4	car	object
88	4	limb	body
92	4	instrument	object
96	4	number	character
100	4	car	object
104	4	instrument	object
108	4	word	character
112	4	body	body
116	4	number	character
120	4	word	character
124	4	corridor	place
128	4	child	face
132	4	number	character
136	4	limb	body
140	4	body	body
144	4	limb	body
148	4	car	object
152	4	body	body
156	4	adult	face
160	4	limb	body
164	4	house	place
168	4	instrument	object
172	4	child	face
180	4	car	object
184	4	adult	face
188	4	word	character
192	4	number	character
196	4	instrument	object
200	4	corridor	place
204	4	house	place
208	4	body	body
212	4	corridor	place
216	4	word	character
224	4	limb	body
236	4	number	character
244	4	child	face
248	4	adult	face
252	4	car	object
256	4	body	body
264	4	house	place
268	4	child	face
280	4	word	character
284	4	adult	face
288	4	corridor	place
