onset	duration	trial_type	domain
4	4	number	character
8	4	word	character
12	4	limb	body
16	4	number	character
20	4	instrument	object
24	4	word	character
32	4	child	face
36	4	number	character
40	4	word	character
44	4	adult	face
48	4	child	face
52	4	house	place
60	4	number	character
64	4	adult	face
68	4	car	object
72	4	instrument	object
80	4	word	character
84	4	body	body
88	4	corridor	place
92	4	child	face
100	4	house	place
104	4	corridor	place
108	4	car	object
112	4	adult	face
116	4	number	character
120	4	instrument	object
124	4	house	place
128	4	limb	body
132	4	car	object
136	4	instrument	object
144	4	car	object
148	4	body	body
152	4	corridor	place
164	4	limb	body
172	4	house	place
176	4	corridor	place
180	4	word	character
184	4	house	place
188	4	body	body
192	4	child	face
196	4	adult	face
200	4	limb	body
204	4	instrument	object
208	4	body	body
212	4	number	character
224	4	child	face
228	4	corridor	place
232	4	car	object
236	4	house	place
240	4	word	character
244	4	corridor	place
248	4	adult	face
256	4	limb	body
260	4	body	body
264	4	child	face
268	4	instrument	object
272	4	adult	face
276	4	limb	body
280	4	body	body
288	4	car	object
