onset	duration	trial_type	domain
8	4	limb	body
16	4	instrument	object
20	4	child	face
24	4	body	body
28	4	number	character
32	4	word	character
36	4	number	character
40	4	car	object
44	4	adult	face
48	4	house	place
52	4	child	face
56	4	word	character
60	4	limb	body
64	4	body	body
68	4	number	character
72	4	instrument	object
76	4	car	object
84	4	word	character
88	4	limb	body
92	4	adult	face
96	4	instrument	object
100	4	number	character
104	4	child	face
108	4	body	body
112	4	corridor	place
120	4	house	place
124	4	word	character
132	4	corridor	place
136	4	limb	body
140	4	house	place
144	4	adult	face
148	4	number	character
152	4	corridor	place
156	4	house	place
160	4	word	character
164	4	corridor	place
176	4	body	body
180	4	car	object
184	4	number	character
188	4	child	face
192	4	house	place
196	4	instrument	object
200	4	corridor	place
204	4	car	object
208	4	house	place
212	4	corridor	place
216	4	limb	body
220	4	instrument	object
224	4	body	body
232	4	car	object
236	4	instrument	object
240	4	limb	body
244	4	body	body
248	4	adult	face
256	4	word	character
264	4	child	face
268	4	adult	face
280	4	child	face
284	4	adult	face
288	4	car	object
