onset	duration	trial_type	domain
8	4	child	face
12	4	limb	body
16	4	house	place
20	4	adult	face
24	4	instrument	object
28	4	body	body
32	4	child	face
44	4	adult	face
48	4	corridor	place
52	4	house	place
56	4	car	object
64	4	number	character
72	4	instrument	object
76	4	car	object
80	4	child	face
88	4	instrument	object
96	4	limb	body
100	4	word	character
104	4	body	body
108	4	limb	body
112	4	car	object
116	4	number	character
120	4	body	body
124	4	limb	body
132	4	corridor	place
136	4	adult	face
140	4	house	place
144	4	word	character
148	4	instrument	object
152	4	corridor	place
156	4	house	place
160	4	car	object
164	4	instrument	object
168	4	number	character
180	4	word	character
184	4	car	object
188	4	corridor	place
192	4	number	character
196	4	child	face
200	4	adult	face
204	4	child	face
208	4	instrument	object
212	4	body	body
216	4	word	character
220	4	number	character
224	4	adult	face
228	4	limb	body
232	4	house	place
240	4	body	body
244	4	child	face
248	4	word	character
252	4	number	character
256	4	corridor	place
260	4	limb	body
264	4	car	object
268	4	adult	face
272	4	word	character
276	4	house	place
280	4	body	body
288	4	corridor	place
