onset	duration	trial_type	domain
4	4	child	face
8	4	adult	face
16	4	house	place
20	4	corridor	place
32	4	instrument	object
36	4	number	character
40	4	word	character
44	4	child	face
48	4	adult	face
52	4	limb	body
56	4	house	place
60	4	car	object
64	4	instrument	object
68	4	body	body
72	4	limb	body
76	4	car	object
84	4	number	character
88	4	corridor	place
92	4	house	place
96	4	child	face
100	4	instrument	object
104	4	adult	face
108	4	corridor	place
112	4	word	character
116	4	house	place
120	4	car	object
124	4	corridor	place
128	4	child	face
132	4	house	place
136	4	body	body
144	4	instrument	object
148	4	car	object
152	4	corridor	place
160	4	number	character
164	4	adult	face
176	4	child	face
180	4	word	character
184	4	number	character
188	4	limb	body
192	4	house	place
196	4	body	body
200	4	word	character
204	4	instrument	object
208	4	adult	face
212	4	limb	body
216	4	number	character
220	4	car	object
224	4	body	body
228	4	child	face
232	4	instrument	object
240	4	corridor	place
244	4	word	character
248	4	limb	body
252	4	car	object
256	4	number	character
264	4	body	body
272	4	limb	body
276	4	body	body
280	4	adult	face
284	4	word	character
