onset	duration	trial_type	domain
4	4	instrument	object
8	4	house	place
12	4	limb	body
20	4	body	body
24	4	number	character
28	4	word	character
32	4	corridor	place
36	4	number	character
40	4	word	character
44	4	limb	body
52	4	house	place
56	4	car	object
60	4	corridor	place
64	4	number	character
68	4	house	place
72	4	corridor	place
80	4	instrument	object
84	4	child	face
88	4	car	object
92	4	word	character
96	4	instrument	object
100	4	body	body
104	4	number	character
108	4	limb	body
112	4	house	place
116	4	corridor	place
124	4	adult	face
128	4	house	place
132	4	body	body
136	4	corridor	place
140	4	car	object
144	4	limb	body
148	4	body	body
152	4	child	face
164	4	instrument	object
168	4	adult	face
172	4	word	character
184	4	child	face
188	4	adult	face
192	4	house	place
196	4	child	face
200	4	number	character
204	4	adult	face
208	4	limb	body
212	4	car	object
216	4	instrument	object
224	4	body	body
228	4	child	face
236	4	word	character
240	4	adult	face
244	4	child	face
248	4	limb	body
252	4	body	body
256	4	car	object
264	4	corridor	place
268	4	adult	face
272	4	instrument	object
276	4	number	character
284	4	word	character
288	4	car	object
