onset	duration	trial_type	domain
4	4	limb	body
8	4	body	body
16	4	instrument	object
20	4	child	face
28	4	limb	body
32	4	car	object
36	4	body	body
44	4	limb	body
48	4	number	character
52	4	adult	face
56	4	instrument	object
60	4	house	place
64	4	word	character
68	4	number	character
72	4	child	face
76	4	word	character
80	4	car	object
84	4	instrument	object
88	4	corridor	place
96	4	adult	face
100	4	number	character
104	4	body	body
108	4	word	character
116	4	number	character
120	4	house	place
124	4	limb	body
128	4	child	face
132	4	adult	face
136	4	corridor	place
140	4	house	place
144	4	body	body
148	4	child	face
152	4	limb	body
156	4	car	object
160	4	word	character
164	4	number	character
168	4	instrument	object
172	4	word	character
176	4	body	body
180	4	limb	body
184	4	corridor	place
188	4	number	character
192	4	house	place
196	4	car	object
208	4	corridor	place
212	4	house	place
216	4	adult	face
220	4	child	face
228	4	word	character
240	4	adult	face
244	4	corridor	place
252	4	house	place
256	4	child	face
260	4	body	body
264	4	corridor	place
268	4	instrument	object
276	4	car	object
280	4	adult	face
284	4	instrument	object
288	4	car	object
