onset	duration	trial_type	domain
8	4	limb	body
12	4	instrument	object
16	4	car	object
20	4	number	character
24	4	child	face
28	4	word	character
32	4	house	place
36	4	instrument	object
40	4	corridor	place
44	4	adult	face
48	4	house	place
56	4	body	body
64	4	number	character
68	4	car	object
72	4	limb	body
76	4	word	character
80	4	body	body
84	4	limb	body
92	4	corridor	place
96	4	number	character
100	4	house	place
104	4	instrument	object
108	4	body	body
112	4	car	object
116	4	instrument	object
120	4	child	face
124	4	adult	face
128	4	child	face
132	4	car	object
136	4	adult	face
144	4	instrument	object
152	4	child	face
156	4	limb	body
160	4	corridor	place
164	4	word	character
168	4	car	object
172	4	house	place
176	4	body	body
180	4	limb	body
184	4	adult	face
188	4	number	character
192	4	child	face
196	4	instrument	object
200	4	word	character
204	4	body	body
208	4	corridor	place
216	4	house	place
220	4	corridor	place
224	4	house	place
228	4	adult	face
232	4	limb	body
236	4	child	face
252	4	car	object
260	4	number	character
268	4	adult	face
272	4	corridor	place
276	4	body	body
280	4	word	character
284	4	number	character
288	4	word	character
