onset	duration	trial_type	domain
4	4	child	face
8	4	limb	body
12	4	adult	face
16	4	number	character
20	4	instrument	object
24	4	house	place
28	4	word	character
32	4	child	face
36	4	car	object
40	4	instrument	object
44	4	corridor	place
48	4	number	character
52	4	car	object
56	4	word	character
60	4	body	body
64	4	adult	face
68	4	house	place
72	4	instrument	object
76	4	car	object
80	4	limb	body
84	4	instrument	object
88	4	child	face
92	4	number	character
96	4	adult	face
100	4	child	face
104	4	body	body
108	4	corridor	place
112	4	house	place
120	4	car	object
124	4	adult	face
132	4	word	character
136	4	limb	body
140	4	instrument	object
152	4	body	body
160	4	corridor	place
164	4	limb	body
168	4	number	character
172	4	word	character
180	4	child	face
184	4	car	object
188	4	body	body
196	4	number	character
200	4	word	character
204	4	house	place
208	4	corridor	place
212	4	adult	face
216	4	child	face
224	4	house	place
228	4	adult	face
232	4	corridor	place
236	4	instrument	object
244	4	car	object
248	4	number	character
252	4	house	place
256	4	limb	body
260	4	body	body
264	4	corridor	place
272	4	limb	body
276	4	body	body
280	4	word	character
