onset	duration	trial_type	domain
8	4	child	face
12	4	house	place
16	4	limb	body
20	4	corridor	place
24	4	number	character
28	4	instrument	object
32	4	body	body
36	4	adult	face
40	4	limb	body
44	4	word	character
48	4	house	place
52	4	body	body
56	4	child	face
60	4	number	character
64	4	limb	body
68	4	body	body
72	4	car	object
76	4	instrument	object
84	4	adult	face
88	4	corridor	place
92	4	house	place
96	4	word	character
100	4	number	character
104	4	word	character
120	4	corridor	place
124	4	child	face
128	4	adult	face
132	4	number	character
140	4	car	object
144	4	word	character
148	4	house	place
152	4	corridor	place
156	4	child	face
160	4	limb	body
164	4	body	body
168	4	instrument	object
172	4	car	object
176	4	adult	face
184	4	limb	body
192	4	body	body
196	4	number	character
200	4	instrument	object
204	4	limb	body
212	4	car	object
220	4	word	character
224	4	body	body
228	4	house	place
236	4	number	character
240	4	child	face
244	4	instrument	object
248	4	word	character
252	4	adult	face
256	4	child	face
260	4	car	object
264	4	corridor	place
268	4	instrument	object
272	4	house	place
280	4	corridor	place
284	4	car	object
288	4	adult	face
