onset	duration	trial_type	domain
4	4	house	place
8	4	number	character
12	4	instrument	object
16	4	word	character
20	4	number	character
28	4	limb	body
32	4	body	body
36	4	car	object
40	4	word	character
44	4	number	character
48	4	child	face
52	4	word	character
56	4	corridor	place
64	4	house	place
72	4	adult	face
80	4	child	face
84	4	corridor	place
88	4	adult	face
92	4	child	face
96	4	house	place
100	4	instrument	object
108	4	car	object
112	4	adult	face
116	4	instrument	object
120	4	child	face
124	4	limb	body
128	4	body	body
132	4	car	object
136	4	instrument	object
140	4	car	object
144	4	corridor	place
148	4	instrument	object
152	4	house	place
156	4	corridor	place
160	4	limb	body
164	4	house	place
168	4	number	character
172	4	body	body
176	4	word	character
180	4	car	object
188	4	instrument	object
192	4	limb	body
200	4	number	character
204	4	body	body
212	4	corridor	place
216	4	adult	face
220	4	child	face
224	4	car	object
228	4	limb	body
232	4	word	character
236	4	adult	face
248	4	number	character
252	4	house	place
256	4	corridor	place
260	4	body	body
264	4	child	face
268	4	word	character
280	4	limb	body
284	4	adult	face
288	4	body	body
