onset	duration	trial_type	domain
4	4	child	face
8	4	instrument	object
12	4	adult	face
16	4	child	face
20	4	adult	face
24	4	number	character
32	4	word	character
36	4	limb	body
40	4	car	object
44	4	body	body
48	4	house	place
52	4	instrument	object
56	4	corridor	place
60	4	child	face
72	4	car	object
76	4	adult	face
80	4	number	character
84	4	word	character
88	4	house	place
92	4	instrument	object
96	4	car	object
100	4	number	character
104	4	word	character
108	4	child	face
112	4	limb	body
116	4	body	body
120	4	corridor	place
124	4	house	place
132	4	adult	face
136	4	limb	body
140	4	child	face
144	4	corridor	place
148	4	number	character
152	4	body	body
160	4	limb	body
164	4	word	character
168	4	adult	face
172	4	house	place
176	4	body	body
184	4	number	character
188	4	corridor	place
192	4	word	character
196	4	instrument	object
204	4	house	place
208	4	limb	body
212	4	child	face
220	4	body	body
224	4	number	character
228	4	car	object
236	4	instrument	object
240	4	limb	body
244	4	body	body
248	4	car	object
252	4	word	character
264	4	corridor	place
268	4	house	place
276	4	adult	face
280	4	instrument	object
284	4	car	object
288	4	corridor	place
