onset	duration	trial_type	domain
12	4	number	character
16	4	word	character
20	4	limb	body
24	4	child	face
28	4	body	body
40	4	limb	body
44	4	house	place
48	4	body	body
52	4	instrument	object
56	4	car	object
60	4	number	character
68	4	word	character
72	4	corridor	place
76	4	house	place
80	4	adult	face
84	4	number	character
88	4	instrument	object
92	4	car	object
96	4	limb	body
104	4	corridor	place
108	4	instrument	object
112	4	body	body
116	4	word	character
120	4	number	character
124	4	car	object
132	4	child	face
140	4	limb	body
144	4	word	character
148	4	adult	face
152	4	number	character
160	4	instrument	object
164	4	house	place
168	4	body	body
172	4	limb	body
176	4	body	body
180	4	child	face
184	4	adult	face
188	4	car	object
192	4	corridor	place
196	4	child	face
200	4	limb	body
204	4	instrument	object
208	4	adult	face
212	4	car	object
216	4	word	character
220	4	body	body
224	4	house	place
228	4	number	character
232	4	child	face
236	4	adult	face
244	4	instrument	object
252	4	corridor	place
260	4	child	face
264	4	house	place
268	4	car	object
272	4	adult	face
276	4	corridor	place
280	4	house	place
284	4	word	character
288	4	corridor	place
