onset	duration	trial_type	domain
4	4	house	place
8	4	instrument	object
12	4	car	object
16	4	number	character
20	4	child	face
24	4	adult	face
28	4	corridor	place
36	4	word	character
40	4	instrument	object
48	4	house	place
52	4	child	face
56	4	car	object
60	4	number	character
64	4	word	character
68	4	instrument	object
72	4	adult	face
76	4	limb	body
80	4	corridor	place
84	4	body	body
88	4	car	object
92	4	house	place
96	4	child	face
100	4	adult	face
104	4	number	character
108	4	corridor	place
112	4	instrument	object
116	4	car	object
124	4	child	face
136	4	adult	face
140	4	house	place
144	4	word	character
148	4	limb	body
156	4	number	character
160	4	child	face
164	4	instrument	object
168	4	body	body
172	4	adult	face
176	4	limb	body
180	4	body	body
192	4	limb	body
196	4	word	character
204	4	body	body
208	4	number	character
212	4	corridor	place
216	4	house	place
220	4	corridor	place
224	4	word	character
228	4	limb	body
232	4	body	body
236	4	house	place
240	4	limb	body
244	4	car	object
248	4	body	body
252	4	child	face
260	4	instrument	object
264	4	adult	face
268	4	number	character
272	4	word	character
280	4	corridor	place
288	4	car	object
