onset	duration	trial_type	domain
4	4	instrument	object
8	4	limb	body
12	4	house	place
16	4	body	body
20	4	number	character
28	4	car	object
32	4	child	face
36	4	limb	body
40	4	instrument	object
44	4	car	object
52	4	corridor	place
56	4	house	place
60	4	word	character
64	4	number	character
68	4	instrument	object
72	4	adult	face
76	4	body	body
80	4	child	face
88	4	adult	face
92	4	child	face
96	4	corridor	place
100	4	limb	body
104	4	body	body
108	4	limb	body
112	4	car	object
116	4	body	body
124	4	limb	body
128	4	house	place
136	4	word	character
140	4	body	body
144	4	adult	face
148	4	number	character
152	4	child	face
156	4	corridor	place
160	4	instrument	object
164	4	house	place
168	4	word	character
172	4	corridor	place
176	4	adult	face
180	4	child	face
188	4	house	place
192	4	corridor	place
204	4	adult	face
208	4	car	object
212	4	instrument	object
216	4	number	character
220	4	car	object
224	4	word	character
228	4	child	face
232	4	number	character
240	4	word	character
244	4	limb	body
252	4	instrument	object
264	4	body	body
268	4	number	character
272	4	word	character
276	4	house	place
280	4	adult	face
284	4	car	object
288	4	corridor	place
