onset	duration	trial_type	domain
8	4	limb	body
12	4	instrument	object
16	4	number	character
20	4	car	object
24	4	instrument	object
28	4	word	character
44	4	car	object
48	4	house	place
52	4	corridor	place
56	4	number	character
60	4	body	body
64	4	limb	body
68	4	house	place
72	4	word	character
76	4	number	character
80	4	corridor	place
84	4	house	place
92	4	child	face
96	4	body	body
100	4	word	character
104	4	limb	body
108	4	body	body
112	4	number	character
116	4	adult	face
120	4	corridor	place
124	4	child	face
128	4	instrument	object
132	4	car	object
136	4	limb	body
140	4	adult	face
148	4	word	character
152	4	number	character
156	4	instrument	object
160	4	body	body
164	4	car	object
168	4	house	place
172	4	instrument	object
176	4	child	face
180	4	car	object
188	4	corridor	place
196	4	word	character
204	4	house	place
208	4	instrument	object
212	4	adult	face
216	4	corridor	place
220	4	limb	body
228	4	body	body
232	4	house	place
236	4	limb	body
244	4	car	object
252	4	child	face
256	4	adult	face
260	4	number	character
264	4	corridor	place
268	4	child	face
272	4	body	body
276	4	adult	face
280	4	child	face
284	4	word	character
288	4	adult	face
