onset	duration	trial_type	domain
4	4	limb	body
8	4	instrument	object
12	4	number	character
16	4	child	face
20	4	house	place
24	4	car	object
28	4	word	character
32	4	corridor	place
36	4	house	place
40	4	adult	face
44	4	corridor	place
48	4	number	character
52	4	house	place
56	4	body	body
64	4	limb	body
68	4	corridor	place
72	4	child	face
76	4	word	character
80	4	number	character
88	4	instrument	object
92	4	car	object
96	4	body	body
100	4	limb	body
104	4	word	character
108	4	instrument	object
112	4	house	place
116	4	body	body
124	4	car	object
132	4	number	character
136	4	word	character
140	4	instrument	object
148	4	number	character
152	4	limb	body
156	4	corridor	place
168	4	body	body
172	4	car	object
176	4	instrument	object
180	4	house	place
184	4	word	character
188	4	adult	face
196	4	child	face
200	4	adult	face
204	4	car	object
208	4	child	face
216	4	corridor	place
224	4	house	place
228	4	corridor	place
232	4	instrument	object
236	4	adult	face
240	4	number	character
244	4	limb	body
248	4	word	character
260	4	child	face
264	4	body	body
268	4	adult	face
272	4	car	object
276	4	limb	body
280	4	body	body
284	4	child	face
288	4	adult	face
