onset	duration	trial_type	domain
4	4	house	place
8	4	instrument	object
12	4	child	face
16	4	corridor	place
20	4	limb	body
24	4	adult	face
28	4	body	body
36	4	child	face
40	4	number	character
44	4	word	character
48	4	car	object
52	4	instrument	object
56	4	house	place
60	4	adult	face
64	4	car	object
68	4	limb	body
72	4	number	character
76	4	word	character
84	4	body	body
88	4	child	face
92	4	adult	face
96	4	number	character
100	4	instrument	object
104	4	corridor	place
108	4	word	character
112	4	limb	body
116	4	car	object
120	4	number	character
124	4	child	face
128	4	instrument	object
132	4	car	object
140	4	house	place
144	4	corridor	place
148	4	word	character
160	4	number	character
164	4	adult	face
168	4	child	face
180	4	body	body
184	4	house	place
192	4	adult	face
200	4	corridor	place
204	4	child	face
208	4	house	place
212	4	corridor	place
216	4	limb	body
224	4	instrument	object
228	4	body	body
232	4	limb	body
236	4	house	place
244	4	car	object
252	4	word	character
256	4	corridor	place
260	4	instrument	object
264	4	adult	face
268	4	body	body
272	4	car	object
276	4	number	character
280	4	limb	body
284	4	body	body
288	4	word	character
