onset	duration	trial_type	domain
12	4	child	face
16	4	instrument	object
20	4	adult	face
24	4	limb	body
28	4	child	face
32	4	number	character
36	4	car	object
40	4	house	place
44	4	word	character
48	4	instrument	object
52	4	body	body
56	4	corridor	place
60	4	limb	body
64	4	adult	face
68	4	body	body
72	4	limb	body
80	4	child	face
84	4	car	object
88	4	instrument	object
92	4	number	character
96	4	house	place
100	4	car	object
104	4	adult	face
108	4	child	face
112	4	corridor	place
116	4	word	character
120	4	adult	face
128	4	house	place
132	4	instrument	object
136	4	car	object
140	4	number	character
148	4	instrument	object
152	4	corridor	place
160	4	word	character
164	4	number	character
168	4	word	character
172	4	body	body
176	4	car	object
184	4	number	character
192	4	limb	body
196	4	body	body
200	4	instrument	object
208	4	house	place
216	4	car	object
220	4	limb	body
224	4	word	character
228	4	child	face
232	4	corridor	place
236	4	body	body
240	4	number	character
244	4	house	place
248	4	adult	face
260	4	limb	body
264	4	corridor	place
268	4	house	place
272	4	corridor	place
276	4	child	face
280	4	adult	face
284	4	word	character
288	4	body	body
