onset	duration	trial_type	domain
4	4	instrument	object
8	4	child	face
16	4	car	object
24	4	house	place
28	4	adult	face
32	4	instrument	object
36	4	limb	body
48	4	number	character
52	4	body	body
56	4	corridor	place
60	4	house	place
64	4	corridor	place
76	4	limb	body
80	4	body	body
84	4	child	face
88	4	adult	face
92	4	house	place
96	4	word	character
100	4	corridor	place
104	4	number	character
108	4	child	face
112	4	word	character
116	4	adult	face
120	4	child	face
124	4	house	place
128	4	adult	face
132	4	limb	body
136	4	number	character
140	4	corridor	place
144	4	car	object
148	4	instrument	object
152	4	body	body
156	4	car	object
160	4	word	character
164	4	number	character
168	4	limb	body
176	4	child	face
184	4	word	character
192	4	adult	face
196	4	number	character
200	4	word	character
204	4	instrument	object
208	4	house	place
212	4	car	object
220	4	corridor	place
224	4	body	body
228	4	limb	body
232	4	child	face
236	4	instrument	object
240	4	house	place
248	4	car	object
252	4	adult	face
256	4	body	body
260	4	corridor	place
264	4	limb	body
268	4	number	character
272	4	instrument	object
276	4	word	character
284	4	body	body
288	4	car	object
