onset	duration	trial_type	domain
4	4	limb	body
12	4	number	character
16	4	word	character
20	4	body	body
24	4	number	character
28	4	instrument	object
32	4	child	face
40	4	car	object
44	4	limb	body
48	4	house	place
52	4	adult	face
60	4	child	face
64	4	corridor	place
68	4	body	body
72	4	limb	body
76	4	body	body
80	4	instrument	object
96	4	car	object
100	4	word	character
108	4	number	character
112	4	word	character
116	4	house	place
124	4	corridor	place
128	4	house	place
132	4	instrument	object
136	4	corridor	place
140	4	house	place
148	4	corridor	place
152	4	car	object
156	4	house	place
160	4	adult	face
164	4	instrument	object
168	4	car	object
172	4	instrument	object
176	4	child	face
180	4	limb	body
184	4	adult	face
188	4	car	object
192	4	body	body
196	4	corridor	place
200	4	limb	body
208	4	body	body
212	4	number	character
216	4	limb	body
220	4	child	face
224	4	house	place
228	4	word	character
232	4	instrument	object
236	4	number	character
240	4	corridor	place
244	4	word	character
248	4	adult	face
252	4	child	face
256	4	adult	face
260	4	number	character
264	4	child	face
268	4	word	character
276	4	body	body
280	4	car	object
288	4	adult	face
