onset	duration	trial_type	domain
4	4	number	character
8	4	child	face
12	4	word	character
16	4	limb	body
20	4	number	character
24	4	instrument	object
28	4	word	character
32	4	house	place
36	4	body	body
40	4	corridor	place
44	4	limb	body
48	4	body	body
52	4	adult	face
56	4	child	face
60	4	number	character
64	4	word	character
68	4	house	place
72	4	number	character
80	4	limb	body
84	4	body	body
88	4	car	object
92	4	word	character
96	4	instrument	object
100	4	car	object
104	4	adult	face
108	4	limb	body
112	4	instrument	object
116	4	child	face
120	4	corridor	place
124	4	car	object
128	4	body	body
136	4	adult	face
140	4	instrument	object
144	4	house	place
152	4	corridor	place
160	4	number	character
164	4	limb	body
168	4	word	character
176	4	child	face
184	4	car	object
188	4	house	place
192	4	corridor	place
196	4	number	character
200	4	adult	face
204	4	body	body
208	4	child	face
212	4	adult	face
216	4	house	place
220	4	instrument	object
224	4	limb	body
236	4	car	object
240	4	instrument	object
248	4	corridor	place
252	4	house	place
256	4	child	face
264	4	body	body
268	4	corridor	place
272	4	adult	face
276	4	car	object
288	4	word	character
