onset	duration	trial_type	domain
4	4	number	character
12	4	instrument	object
16	4	child	face
24	4	word	character
28	4	number	character
32	4	car	object
36	4	word	character
48	4	house	place
52	4	instrument	object
56	4	adult	face
60	4	limb	body
64	4	car	object
68	4	instrument	object
76	4	number	character
80	4	word	character
84	4	car	object
88	4	corridor	place
92	4	house	place
96	4	body	body
108	4	instrument	object
112	4	car	object
116	4	limb	body
120	4	number	character
124	4	body	body
128	4	corridor	place
132	4	child	face
136	4	adult	face
140	4	house	place
144	4	limb	body
148	4	body	body
152	4	limb	body
160	4	body	body
164	4	instrument	object
168	4	limb	body
172	4	word	character
176	4	corridor	place
180	4	number	character
184	4	child	face
192	4	house	place
196	4	word	character
200	4	corridor	place
204	4	car	object
212	4	adult	face
216	4	body	body
220	4	child	face
224	4	house	place
228	4	corridor	place
236	4	adult	face
240	4	child	face
244	4	number	character
248	4	adult	face
252	4	instrument	object
256	4	house	place
264	4	limb	body
268	4	corridor	place
272	4	child	face
276	4	word	character
280	4	body	body
284	4	adult	face
288	4	car	object
