onset	duration	trial_type	domain
4	4	instrument	object
8	4	child	face
12	4	car	object
20	4	number	character
24	4	instrument	object
28	4	limb	body
32	4	house	place
36	4	body	body
40	4	word	character
44	4	corridor	place
48	4	house	place
52	4	limb	body
56	4	body	body
60	4	car	object
64	4	corridor	place
68	4	instrument	object
72	4	number	character
76	4	adult	face
84	4	car	object
88	4	child	face
96	4	house	place
104	4	corridor	place
108	4	adult	face
112	4	limb	body
116	4	body	body
120	4	word	character
124	4	number	character
128	4	child	face
132	4	adult	face
136	4	house	place
140	4	instrument	object
144	4	word	character
160	4	number	character
164	4	word	character
168	4	limb	body
172	4	car	object
176	4	instrument	object
184	4	car	object
188	4	instrument	object
192	4	corridor	place
196	4	number	character
200	4	house	place
204	4	corridor	place
208	4	word	character
216	4	body	body
220	4	child	face
224	4	adult	face
228	4	number	character
232	4	limb	body
236	4	child	face
240	4	car	object
244	4	body	body
252	4	adult	face
256	4	house	place
264	4	limb	body
268	4	corridor	place
272	4	child	face
276	4	body	body
284	4	adult	face
288	4	word	character
