onset	duration	trial_type	domain
4	4	house	place
8	4	corridor	place
12	4	child	face
16	4	adult	face
20	4	limb	body
28	4	instrument	object
36	4	child	face
40	4	house	place
44	4	car	object
48	4	adult	face
56	4	body	body
60	4	limb	body
64	4	instrument	object
68	4	body	body
76	4	child	face
80	4	corridor	place
84	4	number	character
88	4	word	character
92	4	house	place
96	4	car	object
100	4	corridor	place
104	4	limb	body
108	4	body	body
112	4	number	character
116	4	adult	face
120	4	word	character
124	4	child	face
128	4	instrument	object
132	4	number	character
136	4	house	place
140	4	adult	face
144	4	limb	body
148	4	corridor	place
156	4	body	body
160	4	child	face
164	4	adult	face
168	4	car	object
172	4	child	face
176	4	word	character
180	4	instrument	object
184	4	car	object
192	4	number	character
196	4	limb	body
200	4	adult	face
208	4	house	place
224	4	word	character
228	4	number	character
236	4	instrument	object
240	4	car	object
244	4	body	body
248	4	corridor	place
252	4	limb	body
256	4	word	character
260	4	instrument	object
264	4	number	character
272	4	house	place
276	4	corridor	place
280	4	word	character
284	4	body	body
288	4	car	object
