onset	duration	trial_type	domain
4	4	house	place
8	4	instrument	object
12	4	corridor	place
16	4	limb	body
20	4	child	face
24	4	house	place
32	4	car	object
40	4	instrument	object
44	4	number	character
48	4	car	object
52	4	body	body
56	4	limb	body
60	4	word	character
68	4	adult	face
72	4	child	face
80	4	body	body
84	4	instrument	object
88	4	limb	body
92	4	adult	face
96	4	child	face
100	4	number	character
104	4	car	object
108	4	word	character
112	4	adult	face
120	4	corridor	place
124	4	body	body
132	4	number	character
136	4	house	place
140	4	word	character
144	4	child	face
148	4	limb	body
152	4	corridor	place
164	4	adult	face
168	4	number	character
176	4	word	character
180	4	house	place
184	4	instrument	object
188	4	child	face
192	4	car	object
196	4	instrument	object
200	4	adult	face
204	4	body	body
208	4	corridor	place
212	4	house	place
216	4	number	character
220	4	word	character
224	4	number	character
228	4	limb	body
232	4	car	object
236	4	corridor	place
240	4	child	face
244	4	house	place
248	4	adult	face
252	4	instrument	object
256	4	car	object
268	4	body	body
272	4	limb	body
276	4	word	character
280	4	body	body
288	4	corridor	place
