onset	duration	trial_type	domain
4	4	child	face
8	4	instrument	object
12	4	car	object
16	4	house	place
20	4	limb	body
28	4	corridor	place
32	4	number	character
40	4	instrument	object
44	4	body	body
48	4	limb	body
52	4	car	object
56	4	word	character
60	4	house	place
64	4	instrument	object
68	4	car	object
72	4	body	body
76	4	limb	body
80	4	instrument	object
92	4	body	body
96	4	corridor	place
100	4	house	place
104	4	limb	body
108	4	number	character
112	4	word	character
116	4	number	character
120	4	adult	face
128	4	corridor	place
136	4	word	character
140	4	car	object
144	4	child	face
148	4	number	character
152	4	body	body
156	4	adult	face
164	4	limb	body
168	4	word	character
176	4	number	character
180	4	child	face
184	4	body	body
192	4	adult	face
196	4	limb	body
200	4	child	face
204	4	house	place
208	4	instrument	object
212	4	adult	face
216	4	car	object
220	4	word	character
224	4	corridor	place
228	4	child	face
232	4	adult	face
236	4	child	face
240	4	house	place
244	4	corridor	place
248	4	number	character
252	4	instrument	object
260	4	car	object
264	4	house	place
268	4	adult	face
272	4	word	character
276	4	body	body
280	4	corridor	place
