onset	duration	trial_type	domain
4	4	child	face
12	4	adult	face
16	4	number	character
20	4	instrument	object
32	4	car	object
36	4	limb	body
40	4	child	face
44	4	house	place
48	4	adult	face
52	4	body	body
56	4	limb	body
60	4	instrument	object
64	4	car	object
68	4	child	face
72	4	adult	face
76	4	body	body
88	4	instrument	object
92	4	word	character
96	4	number	character
100	4	child	face
108	4	adult	face
112	4	corridor	place
116	4	car	object
120	4	limb	body
124	4	house	place
128	4	corridor	place
132	4	body	body
136	4	limb	body
140	4	word	character
144	4	house	place
152	4	body	body
156	4	corridor	place
160	4	instrument	object
164	4	car	object
168	4	house	place
172	4	number	character
176	4	child	face
180	4	adult	face
184	4	word	character
192	4	corridor	place
196	4	house	place
200	4	number	character
204	4	corridor	place
212	4	word	character
216	4	number	character
220	4	instrument	object
224	4	word	character
232	4	house	place
236	4	child	face
240	4	car	object
248	4	limb	body
256	4	number	character
260	4	body	body
264	4	word	character
268	4	limb	body
272	4	instrument	object
276	4	adult	face
280	4	car	object
284	4	corridor	place
288	4	body	body
