onset	duration	trial_type	domain
4	4	number	character
12	4	word	character
16	4	number	character
20	4	child	face
24	4	instrument	object
28	4	house	place
32	4	limb	body
36	4	adult	face
40	4	word	character
44	4	car	object
48	4	child	face
52	4	adult	face
60	4	corridor	place
64	4	instrument	object
68	4	body	body
72	4	number	character
76	4	word	character
84	4	car	object
92	4	limb	body
100	4	child	face
104	4	instrument	object
108	4	number	character
112	4	house	place
124	4	car	object
132	4	corridor	place
136	4	instrument	object
140	4	adult	face
144	4	word	character
148	4	child	face
156	4	body	body
160	4	number	character
164	4	house	place
168	4	word	character
172	4	car	object
176	4	instrument	object
180	4	car	object
184	4	limb	body
188	4	body	body
192	4	corridor	place
196	4	house	place
208	4	adult	face
212	4	child	face
216	4	corridor	place
220	4	house	place
224	4	number	character
228	4	limb	body
232	4	corridor	place
236	4	adult	face
240	4	body	body
244	4	limb	body
252	4	word	character
256	4	body	body
260	4	instrument	object
264	4	house	place
268	4	child	face
272	4	corridor	place
276	4	limb	body
280	4	adult	face
284	4	body	body
288	4	car	object
