onset	duration	trial_type	domain
4	4	child	face
12	4	limb	body
16	4	body	body
20	4	number	character
24	4	adult	face
28	4	child	face
32	4	adult	face
40	4	instrument	object
52	4	house	place
56	4	child	face
60	4	limb	body
64	4	adult	face
68	4	car	object
80	4	word	character
84	4	instrument	object
88	4	number	character
92	4	body	body
96	4	child	face
100	4	word	character
108	4	number	character
112	4	corridor	place
116	4	limb	body
120	4	house	place
128	4	body	body
136	4	adult	face
140	4	car	object
144	4	instrument	object
148	4	corridor	place
152	4	word	character
156	4	number	character
160	4	car	object
164	4	limb	body
168	4	body	body
176	4	instrument	object
180	4	word	character
184	4	limb	body
188	4	car	object
192	4	body	body
196	4	number	character
200	4	child	face
204	4	house	place
208	4	adult	face
212	4	word	character
216	4	corridor	place
220	4	instrument	object
224	4	child	face
228	4	house	place
232	4	corridor	place
236	4	number	character
240	4	word	character
248	4	adult	face
252	4	limb	body
256	4	house	place
260	4	corridor	place
268	4	house	place
272	4	body	body
276	4	car	object
280	4	instrument	object
284	4	corridor	place
288	4	car	object
