onset	duration	trial_type	domain
4	4	house	place
8	4	number	character
12	4	child	face
24	4	word	character
28	4	adult	face
32	4	corridor	place
36	4	instrument	object
40	4	house	place
44	4	car	object
48	4	limb	body
52	4	body	body
56	4	limb	body
60	4	instrument	object
68	4	child	face
72	4	car	object
76	4	number	character
80	4	word	character
84	4	instrument	object
88	4	car	object
92	4	corridor	place
96	4	number	character
100	4	house	place
104	4	body	body
108	4	instrument	object
112	4	car	object
120	4	corridor	place
128	4	word	character
132	4	limb	body
136	4	adult	face
140	4	house	place
148	4	body	body
156	4	limb	body
164	4	child	face
168	4	body	body
172	4	number	character
180	4	instrument	object
184	4	adult	face
188	4	word	character
192	4	number	character
196	4	limb	body
200	4	word	character
204	4	car	object
208	4	body	body
212	4	child	face
216	4	adult	face
220	4	instrument	object
224	4	child	face
228	4	adult	face
232	4	number	character
236	4	corridor	place
240	4	limb	body
244	4	house	place
248	4	corridor	place
252	4	child	face
256	4	body	body
260	4	house	place
264	4	corridor	place
268	4	adult	face
276	4	car	object
280	4	word	character
